Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene2	23	19	20	20	22	22	14	16	19	13	14	15	13	14	15	12	17	20	16	16	20	5	19	17	17	13	14	14	13	14	16	11	9	14	14	15	16	10	14	20	14	14	18	12	13
Gene3	0	0	1	1	1	0	4	7	13	4	8	11	9	6	11	2	7	8	6	8	10	1	5	17	17	3	2	2	2	2	4	3	5	6	4	3	3	3	3	3	4	4	4	3	3
Gene4	12	12	12	11	13	12	6	5	8	5	6	6	7	6	5	4	6	6	5	6	3	1	5	4	4	4	4	4	4	4	5	3	4	6	4	4	7	4	5	5	5	5	5	4	5
Gene5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene7	0	0	0	0	0	0	1	0	2	0	0	1	2	0	2	0	2	1	0	1	2	0	1	2	1	1	1	0	1	1	1	1	5	1	1	0	2	0	0	1	1	4	1	1	0
Gene8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene9	3	4	4	4	3	3	10	26	17	9	21	19	10	18	19	16	12	24	18	18	19	7	16	23	17	7	9	10	6	8	9	12	7	16	15	13	11	7	11	16	15	11	16	11	10
Gene10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene12	19	20	20	20	18	17	16	20	15	14	25	14	14	13	16	13	21	22	19	23	11	3	21	18	18	13	15	15	11	12	16	9	10	26	20	20	12	9	18	19	18	13	20	19	15
Gene13	7	7	6	6	7	5	10	13	11	6	9	9	11	14	11	6	10	10	8	7	11	5	8	14	12	5	5	5	4	4	6	3	1	4	3	3	5	4	2	3	5	1	6	6	5
Gene14	129	127	127	128	132	133	83	82	61	69	86	55	68	78	48	59	94	63	65	77	36	10	81	41	37	63	60	62	66	56	73	41	42	70	61	62	51	49	59	67	62	49	63	56	57
Gene15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene19	27	27	27	26	28	29	6	1	3	6	3	3	8	2	2	5	3	3	2	3	1	0	3	2	3	6	4	5	5	4	5	4	2	4	4	3	5	5	3	3	3	4	3	4	3
Gene20	8	9	7	8	10	10	4	3	1	3	2	2	4	2	1	2	1	1	3	4	1	0	4	1	2	3	3	4	4	3	3	4	1	5	2	1	2	3	1	3	3	1	2	3	3
