Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene2	22.97	19.38	20.13	19.7	21.74	21.58	13.61	16.03	18.73	12.8	14.46	14.96	13.24	14.06	14.86	11.67	17.18	19.69	16.32	16.07	19.89	5.33	18.68	17.28	17.07	13.28	14.08	14.22	13.44	14.02	16.15	11.32	8.72	14.13	14.14	15.16	15.77	10.25	13.87	20.45	14.46	14.42	17.5	11.69	12.51
Gene3	0.4	0.11	0.73	0.76	1.05	0.41	3.75	7.38	12.54	3.84	7.68	10.8	8.86	5.79	10.77	2.47	7.19	7.54	5.94	7.67	10.26	1.21	4.89	16.8	16.55	2.81	2.14	2.07	2.32	1.57	4.14	2.92	4.58	5.51	4.46	3.18	3.49	2.63	3.01	3	3.65	3.67	4.09	2.62	3.45
Gene4	12.21	12.2	12.04	11.08	12.6	12.26	5.63	5.29	7.51	5.02	5.85	6.26	7.38	6.08	4.64	4.5	6.37	5.82	4.53	5.99	3.4	1.28	5.25	3.69	3.91	4.49	3.77	4.02	4.35	4.34	5.39	3.03	3.58	5.57	4.4	4.46	6.91	4.07	4.51	4.64	4.59	5.2	5.38	3.52	4.95
Gene5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene7	0	0	0.21	0	0	0	1.44	0.34	1.66	0	0.41	1.07	2.33	0.36	1.53	0.33	1.74	0.85	0.18	0.52	1.67	0	1.21	1.6	1	0.91	0.84	0	0.61	0.55	1.37	1.26	5.45	0.81	0.84	0.42	1.85	0.34	0	1.37	0.67	3.62	1.36	0.57	0.19
Gene8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene9	3.13	4.29	3.96	4.09	2.55	3.37	9.94	25.65	16.82	8.9	20.9	18.89	10.3	18.17	19.03	15.69	11.98	23.87	17.7	18.39	18.59	7.19	16.3	23.3	17.47	7.21	9.4	9.96	5.57	7.74	8.66	12.26	6.79	16.28	15.3	13.13	11.34	6.9	11.02	15.54	14.69	11.42	16.49	11.15	10.03
Gene10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene12	19.39	20.19	20.07	19.52	17.71	17.25	16.26	20.35	15.25	14.16	24.52	14.02	14.05	13.42	15.7	13.12	21.43	21.59	18.98	22.66	11.24	3.05	21.1	18.23	18.24	13.32	15.34	14.95	10.85	12.46	15.59	8.96	10.35	26.38	19.7	20.09	11.71	9.16	17.73	19.08	18.44	12.93	20.23	19.21	14.99
