Samples	group
Sample1	Group1
Sample2	Group1
Sample3	Group1
Sample4	Group1
Sample5	Group1
Sample6	Group1
Sample7	Group1
Sample8	Group1
Sample9	Group1
Sample10	Group1
Sample11	Group2
Sample12	Group2
Sample13	Group2
Sample14	Group2
Sample15	Group2
Sample16	Group2
Sample17	Group2
Sample18	Group2
Sample19	Group2
Sample20	Group2
Sample21	Group2
Sample22	Group2
Sample23	Group2
Sample24	Group2
Sample25	Group2
Sample26	Group2
Sample27	Group2
Sample28	Group2
Sample29	Group2
Sample30	Group2
Sample31	Group2
Sample32	Group2
Sample33	Group2
Sample34	Group3
Sample35	Group3
Sample36	Group3
Sample37	Group3
Sample38	Group3
Sample39	Group3
Sample40	Group3
Sample41	Group3
Sample42	Group3
Sample43	Group3
Sample44	Group3
Sample45	Group3
